CLAMATO ID,RA,DEC,z
c16_22_zph2.4_15040_F.fits,150.13757,2.44066,2.51
c16_22_zph2.6_17758_F.fits,150.10231,2.47219,2.606
c16_22_zsp2.5_01239_F.fits,150.14885,2.38391,2.505
c16_18_zph2.6_15288_F.fits,149.95987,2.45353,2.515
c16_18_zph2.6_15292_F.fits,149.95877,2.45022,2.627
c16_18_zsp2.4_01589_F.fits,150.01366,2.46674,2.417
cl2017comb_zsp2.5_00834_F.fits,150.23257,2.14658,2.637
cl2017comb_zsp2.3_00871_F.fits,150.08844,2.24847,2.301
cl2017comb_zsp2.6_00923_F.fits,150.0679,2.15819,2.622
cl2017comb_zsp2.7_00954_F.fits,150.02919,2.25323,2.657
cl2017comb_zsp2.6_00966_F.fits,150.03355,2.23549,2.555
cl2017comb_zsp2.4_01003_F.fits,150.05382,2.185,2.56
cl2017comb_zsp2.4_01012_F.fits,150.05318,2.1513,2.452
cl2017comb_zsp2.6_01016_F.fits,150.02277,2.14595,2.623
cl2017comb_zsp2.3_01181_F.fits,150.33495,2.36654,2.315
cl2017comb_zsp2.5_01239_F.fits,150.14885,2.38391,2.507
cl2017comb_zsp2.5_01245_F.fits,150.1015,2.37672,2.464
cl2017comb_zsp2.4_01265_F.fits,150.06456,2.32904,2.447
cl2017comb_zsp2.4_01321_F.fits,150.02322,2.37721,2.376
cl2017comb_zsp2.7_01349_F.fits,150.0231,2.31791,2.678
cl2017comb_zsp2.6_01865_F.fits,150.1011,2.24173,2.646
cl2017comb_zph2.5_12541_F.fits,150.10333,2.25851,2.437
cl2017comb_zph2.6_12722_F.fits,150.09888,2.16134,2.417
cl2017comb_zsp2.3_12836_F.fits,150.04671,2.25102,2.284
cl2017comb_zph2.5_14852_F.fits,150.3867,2.37505,2.456
cl2017comb_zph2.6_15035_F.fits,150.09714,2.45167,2.479
cl2017comb_zsp2.5_15059_F.fits,150.16531,2.42249,2.506
cl2017comb_zph2.3_15171_F.fits,150.09421,2.34853,2.274
cl2017comb_zph2.6_15218_F.fits,150.17313,2.3254,2.613
cl2017comb_zsp2.4_15373_F.fits,150.00044,2.37243,2.418
cl2017comb_zph2.7_15399_F.fits,150.0201,2.35363,2.689
cl2017comb_zph2.4_15473_F.fits,150.04306,2.31694,2.44
cl2017comb_zsp2.6_15492_F.fits,149.95932,2.30758,2.555
cl2017comb_zsp2.6_17758_F.fits,150.10231,2.47219,2.606
pc06_zph2.3_15159_F.fits,150.09453,2.35827,2.461
pc06_zsp2.4_00852_F.fits,150.06163,2.28314,2.375
cpilot06_zsp2.7_00857_F.fits,150.09343,2.27371,2.65
cpilot06_zsp2.7_01260_F.fits,150.07938,2.3406,2.679
cpilot06_zsp2.7_01276_F.fits,150.0798,2.30685,2.679
cpilot05_zph2.3_12714_F.fits,150.0827,2.16487,2.26
cpilot05_zsp2.7_00994_F.fits,150.04597,2.20114,2.709
cpilot02_zph2.5_12826_F.fits,150.00772,2.24664,2.525
cpilot02_zph2.5_12988_F.fits,149.98288,2.1657,2.42
cpilot02_zsp2.3_00962_F.fits,150.00296,2.24145,2.267
cpilot02_zsp2.3_01013_F.fits,149.96033,2.15784,2.297
cpilot02_zsp2.4_00965_F.fits,149.99504,2.2398,2.442
