# Filename			 ID      g-mag  Conf   zspec   RA           Dec      S/N_lowz S/N_hiz
      c16_20_zsp2.9_01582_F.fits 01582   25.02   2.0   2.910  150.03259    2.48227    -9.0    -9.0
      c16_22_zph2.4_15040_F.fits 15040   24.53   4.0   2.510  150.13757    2.44066     1.7     1.8
      c16_22_zph2.5_26338_F.fits 26338   24.87   0.0   0.000  150.12465    2.46155    -9.0    -9.0
      c16_22_zph2.6_15072_F.fits 15072   24.68   0.0   0.000  150.10518    2.41637    -9.0    -9.0
      c16_22_zph2.6_17758_F.fits 17758   24.95   4.0   2.606  150.10231    2.47219     1.5     1.6
      c16_22_zph2.7_15089_F.fits 15089   24.76   2.0   2.810  150.10362    2.39529    -9.0    -9.0
      c16_22_zph2.7_15147_F.fits 15147   24.80   0.0   0.000  150.09435    2.37033    -9.0    -9.0
      c16_22_zph2.9_17750_F.fits 17750   25.30   3.0   2.890  150.10704    2.47944     2.4     1.7
      c16_22_zsp2.5_01222_F.fits 01222   25.02   2.0   2.478  150.10532    2.44534    -9.0    -9.0
      c16_22_zsp2.5_01239_F.fits 01239   23.61   4.0   2.505  150.14885    2.38391     6.1     5.9
      c16_22_zsp2.5_01245_F.fits 01245   24.71   4.0   2.462  150.10152    2.37672     1.2     1.3
      c16_22_zsp2.7_01750_F.fits 01750   24.79   2.0   2.570  150.15880    2.41091    -9.0    -9.0
      c16_18_zph2.4_17949_F.fits 17949   25.07   3.0   2.420  150.01370    2.47198     0.8     0.9
      c16_18_zph2.5_15300_F.fits 15300   24.76   1.0   2.200  150.02028    2.44148    -9.0    -9.0
      c16_18_zph2.6_15288_F.fits 15288   24.72   3.0   2.515  149.95987    2.45353     1.3     1.4
      c16_18_zph2.6_15292_F.fits 15292   25.02   3.0   2.627  149.95877    2.45022     1.2     1.2
      c16_18_zph2.7_17941_F.fits 17941   24.60   4.0   2.752  149.99553    2.47774     1.5     1.7
      c16_18_zph2.8_15376_F.fits 15376   24.96   1.0   2.900  150.00951    2.36970    -9.0    -9.0
      c16_18_zph2.9_15322_F.fits 15322   24.72   4.0   2.924  150.01585    2.42362    -9.0     1.7
      c16_18_zph2.9_17961_F.fits 17961   24.56   1.0   2.150  150.00597    2.46284    -9.0    -9.0
      c16_18_zsp2.4_01589_F.fits 01589   24.41   4.0   2.417  150.01366    2.46674     2.9     3.1
      c16_18_zsp2.5_01298_F.fits 01298   25.06   3.0   2.456  149.97008    2.43493     1.2     1.4
      c16_18_zsp2.9_01316_F.fits 01316   24.89   4.0   2.874  149.98553    2.38921     1.8     1.9
