# Filename			 ID      g-mag  Conf   zspec   RA           Dec      S/N_lowz S/N_hiz
    cpilot06_zsp2.7_01324_F.fits 01324   24.82   3.0   2.730  150.03629    2.37356     1.3     1.4
    cpilot06_zsp2.9_00865_F.fits 00865   23.75  14.0   2.946  150.07600    2.26429    -9.0     1.8
    cpilot05_zph2.3_12714_F.fits 12714   24.31   2.0   2.260  150.08270    2.16487    -9.0    -9.0
    cpilot05_zph2.4_12584_F.fits 12584   24.01   4.0   2.175  150.07903    2.23947    -9.0    -9.0
    cpilot05_zph2.5_12980_F.fits 12980   25.16   0.0   2.500  150.02275    2.17166    -9.0    -9.0
    cpilot05_zph2.6_13024_F.fits 13024   24.98   2.0   2.582  150.05432    2.13679    -9.0    -9.0
    cpilot05_zph2.7_12898_F.fits 12898   24.97   2.0   2.710  150.03082    2.21256    -9.0    -9.0
    cpilot05_zph2.9_12600_F.fits 12600   24.21   2.0   2.928  150.07822    2.22956    -9.0    -9.0
    cpilot05_zph2.9_12606_F.fits 12606   25.19   1.0   3.420  150.08659    2.22673    -9.0    -9.0
    cpilot05_zph2.9_12619_F.fits 12619   23.73   3.0   3.032  150.08093    2.22006    -9.0     4.0
    cpilot05_zsp2.2_00971_F.fits 00971   24.55   0.0   2.100  150.02876    2.23276    -9.0    -9.0
    cpilot05_zsp2.4_01003_F.fits 01003   24.93   1.0   2.290  150.05382    2.18500    -9.0    -9.0
    cpilot05_zsp2.5_00959_F.fits 00959   20.12  13.0   2.670  150.03719    2.24462    41.5    48.5
    cpilot05_zsp2.7_00994_F.fits 00994   23.43  14.0   2.709  150.04597    2.20114    10.4    10.3
    cpilot02_zph2.2_12879_F.fits 12879   24.55   2.0   2.170  150.02461    2.21920    -9.0    -9.0
    cpilot02_zph2.3_13011_F.fits 13011   24.53   0.0   0.000  150.00719    2.14518    -9.0    -9.0
    cpilot02_zph2.5_12826_F.fits 12826   24.33   3.0   2.525  150.00772    2.24664     1.6     1.7
    cpilot02_zph2.5_12915_F.fits 12915   25.10   1.0   2.530  149.98874    2.20287    -9.0    -9.0
    cpilot02_zph2.5_12988_F.fits 12988   24.28   2.0   2.420  149.98288    2.16570    -9.0    -9.0
    cpilot02_zph2.5_13002_F.fits 13002   22.64   4.0   0.000  149.97194    2.15342    -9.0    -9.0
    cpilot02_zph2.5_13010_F.fits 13010   24.76   2.0   2.423  149.95393    2.14260    -9.0    -9.0
